Run_nr,Time (H:M:S),Alpha (degrees),Delta_Pb (Pa),P_bar (Pa),T (C),Fx (N),Fy (N),Fz (N),rpm (1/min),Rho (kg/m^3)
1,12:49:25,-2.000,191.49,101372,23.16,0.457,-0.968,-0.197,1050.0,1.192
2,12:50:06,-1.000,192.98,101373,23.38,0.468,0.686,-0.183,1049.8,1.191
3,12:50:35,0.000,191.20,101377,23.48,0.492,2.375,-0.166,1050.0,1.191
4,12:51:17,1.000,191.86,101370,23.60,0.554,4.803,-0.139,1049.8,1.190
5,12:51:41,2.000,192.89,101373,23.63,0.616,6.894,-0.112,1049.8,1.190
6,12:51:59,3.000,188.35,101371,23.66,0.693,8.580,-0.113,1050.2,1.190
7,12:52:14,4.000,195.81,101375,23.70,0.787,10.563,-0.108,1050.1,1.190
8,12:52:31,5.000,189.44,101376,23.73,0.886,12.134,-0.118,1049.9,1.190
9,12:52:47,6.000,192.01,101373,23.76,1.027,14.139,-0.121,1050.0,1.189
10,12:53:06,7.000,191.83,101373,23.80,1.175,16.018,-0.130,1049.9,1.189
11,12:53:24,8.000,192.27,101374,23.83,1.345,17.830,-0.145,1050.1,1.189
12,12:53:41,9.000,191.07,101370,23.86,1.537,19.349,-0.167,1049.7,1.189
13,12:53:59,10.000,188.48,101369,23.88,1.727,20.699,-0.192,1050.3,1.189
14,12:54:16,11.000,189.60,101372,23.91,1.977,22.180,-0.225,1050.0,1.189
15,12:54:56,12.000,193.12,101376,23.98,2.224,23.291,-0.266,1050.0,1.189
16,12:55:22,12.500,188.78,101379,24.02,2.315,23.372,-0.282,1049.6,1.188
17,12:55:38,13.000,193.25,101376,24.05,2.481,24.265,-0.304,1049.8,1.188
18,12:55:54,13.500,191.92,101378,24.08,2.631,24.472,-0.321,1050.1,1.188
19,12:56:08,14.000,190.68,101380,24.09,2.793,24.206,-0.337,1050.1,1.188
20,12:56:22,14.500,192.72,101380,24.10,3.069,24.500,-0.343,1049.8,1.188
21,12:56:35,15.000,190.76,101377,24.12,3.288,24.320,-0.356,1049.8,1.188
22,12:56:49,15.500,190.72,101381,24.14,3.579,24.119,-0.360,1049.7,1.188
23,12:57:04,16.000,190.55,101380,24.17,5.889,22.173,-0.201,1050.0,1.188
24,12:57:19,16.500,191.23,101380,24.20,6.200,21.310,-0.222,1050.4,1.188
25,12:57:33,17.000,188.32,101379,24.21,6.399,20.408,-0.226,1050.1,1.188
26,12:57:46,17.500,187.49,101382,24.22,6.638,20.012,-0.239,1050.2,1.188
27,12:58:12,18.000,190.19,101377,24.25,6.852,19.731,-0.262,1050.2,1.188
28,12:58:38,19.000,190.31,101374,24.26,7.179,19.146,-0.288,1050.3,1.187
29,12:58:58,20.000,187.35,101375,24.29,7.493,18.755,-0.244,1050.4,1.187
30,12:59:22,19.500,188.10,101372,24.32,7.315,18.821,-0.266,1050.1,1.187
31,12:59:34,19.000,186.87,101372,24.34,7.097,18.940,-0.289,1050.0,1.187
32,12:59:48,18.500,188.72,101370,24.34,7.028,19.404,-0.277,1050.8,1.187
33,12:59:58,18.000,190.57,101372,24.35,6.855,19.698,-0.262,1049.9,1.187
34,13:00:09,17.500,187.49,101371,24.37,6.595,19.822,-0.239,1049.9,1.187
35,13:00:21,17.000,189.13,101370,24.38,6.477,20.561,-0.218,1049.9,1.187
36,13:00:32,16.500,185.78,101370,24.40,6.118,20.842,-0.210,1049.8,1.187
37,13:00:52,16.000,188.14,101371,24.42,5.829,21.866,-0.205,1050.1,1.187
38,13:01:06,15.500,189.73,101370,24.43,5.368,22.851,-0.225,1050.1,1.187
39,13:01:19,15.000,189.62,101369,24.44,3.264,24.039,-0.339,1050.1,1.187
40,13:01:30,14.500,189.41,101369,24.46,3.056,24.187,-0.334,1049.3,1.187
41,13:01:43,14.000,190.17,101368,24.46,2.810,24.418,-0.323,1050.1,1.187
42,13:01:55,13.500,188.81,101368,24.48,2.591,23.994,-0.312,1049.8,1.186
43,13:02:08,13.000,191.68,101367,24.49,2.472,24.020,-0.292,1049.9,1.186
44,13:02:23,12.500,187.88,101365,24.50,2.328,23.442,-0.261,1050.4,1.186
45,13:02:34,12.000,190.66,101364,24.51,2.211,23.095,-0.244,1050.3,1.186
46,13:02:45,11.000,192.04,101363,24.52,2.014,22.448,-0.208,1049.9,1.186
47,13:02:56,10.000,189.46,101363,24.53,1.742,20.737,-0.170,1050.1,1.186
48,13:03:07,9.000,190.69,101362,24.54,1.542,19.308,-0.142,1050.0,1.186
49,13:03:20,8.000,190.20,101362,24.57,1.346,17.609,-0.119,1049.9,1.186
50,13:03:33,7.000,188.19,101361,24.56,1.183,15.784,-0.103,1050.4,1.186
51,13:03:44,6.000,191.94,101361,24.57,1.045,14.133,-0.097,1050.1,1.186
